pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup
G,cnn_dailymail,7,0.0,False,5.21,1.98,8.4,0.7562,2.78,1688.78,20.45,0.5014,0.759
G,writingprompts,7,0.0,False,3.82,0.55,4.84,0.5661,1.29,655.12,19.31,0.4504,0.519
G,humaneval,7,0.6,False,7.29,1.22,8.85,0.8408,3.43,783.87,19.4,0.444,0.996
G,triviaqa,7,0.6,False,6.22,1.09,7.9,0.7691,2.75,635.85,19.31,0.452,0.846
G,cnn_dailymail,7,0.6,False,4.45,1.81,8.06,0.6941,2.27,1690.14,20.43,0.5089,0.65
G,writingprompts,7,0.6,False,3.76,0.61,4.59,0.5569,1.25,655.98,19.31,0.4493,0.511
G,humaneval,7,1.0,False,5.78,1.5,7.82,0.7327,2.52,784.32,19.4,0.4431,0.803
G,triviaqa,7,1.0,False,4.06,0.76,5.19,0.5871,1.42,632.1,19.3,0.448,0.551
G,cnn_dailymail,7,1.0,False,3.46,1.18,4.92,0.6056,1.6,1688.5,20.44,0.5162,0.509
G,writingprompts,7,1.0,False,3.54,0.47,4.22,0.5262,1.12,653.96,19.31,0.4487,0.481
G,humaneval,10,0.0,False,8.57,1.15,10.29,0.9021,5.15,907.95,19.41,0.5261,1.168
G,triviaqa,10,0.0,False,6.89,1.36,9.05,0.8242,3.88,753.02,19.32,0.5334,0.935
G,cnn_dailymail,10,0.0,False,5.17,2.74,10.12,0.761,3.52,1864.28,20.45,0.5861,0.754
G,writingprompts,10,0.0,False,3.21,0.47,4.06,0.556,1.27,775.76,19.32,0.5331,0.436
G,humaneval,10,0.6,False,7.81,1.69,10.25,0.8675,4.61,909.69,19.4,0.5257,1.067
G,triviaqa,10,0.6,False,5.77,1.25,7.54,0.7708,3.1,758.2,19.32,0.5344,0.785
G,cnn_dailymail,10,0.6,False,4.41,2.41,9.76,0.7186,2.96,1866.14,20.44,0.5879,0.645
G,writingprompts,10,0.6,False,3.28,0.54,4.37,0.5656,1.32,778.89,19.32,0.5336,0.446
G,humaneval,10,1.0,False,5.76,2.06,9.02,0.7568,3.15,909.74,19.4,0.5294,0.8
G,triviaqa,10,1.0,False,3.6,0.59,4.37,0.6067,1.55,755.4,19.3,0.5338,0.489
G,cnn_dailymail,10,1.0,False,3.24,1.7,6.43,0.6201,1.98,1865.99,20.43,0.5894,0.477
G,writingprompts,10,1.0,False,3.16,0.34,3.73,0.5509,1.23,777.84,19.32,0.5326,0.43
