pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup
F,triviaqa,7,0.6,False,11.68,0.86,12.96,0.8784,3.63,396.75,9.32,0.6499,1.206
F,cnn_dailymail,7,0.6,False,6.21,1.01,7.44,0.6396,1.67,862.29,9.87,0.6519,0.667
F,writingprompts,7,0.6,False,6.42,0.67,7.33,0.6109,1.51,405.02,9.32,0.6446,0.663
F,humaneval,7,1.0,False,12.56,1.35,14.85,0.8846,3.95,445.44,9.4,0.6429,1.299
F,triviaqa,7,1.0,False,11.05,0.89,12.4,0.8604,3.37,396.36,9.32,0.6488,1.144
F,cnn_dailymail,7,1.0,False,6.13,0.88,7.64,0.6363,1.64,861.41,9.87,0.6525,0.658
F,writingprompts,7,1.0,False,6.37,0.59,7.2,0.6081,1.49,403.47,9.32,0.6452,0.657
F,humaneval,10,0.6,False,13.76,1.84,17.01,0.9224,5.85,560.27,9.4,0.7156,1.427
F,triviaqa,10,0.6,False,10.64,0.8,12.01,0.8834,4.33,508.86,9.32,0.7229,1.099
F,cnn_dailymail,10,0.6,False,5.09,0.88,6.56,0.6463,1.8,1027.94,9.88,0.7263,0.546
F,writingprompts,10,0.6,False,5.28,0.61,6.39,0.6203,1.62,516.4,9.33,0.7193,0.545
F,humaneval,10,1.0,False,13.53,1.85,16.22,0.9197,5.76,558.57,9.4,0.7169,1.399
F,triviaqa,10,1.0,False,9.94,0.92,11.33,0.8634,3.97,507.86,9.32,0.7224,1.029
F,cnn_dailymail,10,1.0,False,5.07,0.83,6.38,0.6433,1.78,1026.55,9.88,0.7251,0.545
F,writingprompts,10,1.0,False,5.34,0.66,6.35,0.6215,1.64,514.5,9.33,0.7187,0.551
